Group,Name,Status,Type,Position X [voxel],Position Y [voxel],Position Z [voxel],Direction X,Direction Y,Direction Z,Normal X,Normal Y,Normal Z,Radius [mm],Conicity [deg],Form [mm],Peak [mm],Valley [mm],Construction method,Image,Focused image,Histogram image,Captures,Coordinate system,Centroid X [voxel],Centroid Y [voxel],Centroid Z [voxel]
n/a,Line 1,Ok,Line,1232,1177,5,0.22,0.97,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1206,1064,5
n/a,Line 2,Ok,Line,772,913,17,-0.25,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,777,894,16
n/a,Line 3,Ok,Line,719,995,61,-0.24,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,716,1005,61
n/a,Line 4,Ok,Line,806,649,53,-0.24,0.97,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,804,657,54
n/a,Line 5,Ok,Line,434,1452,36,0.97,-0.23,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,441,1450,36
n/a,Line 6,Ok,Line,120,1966,63,0.08,1.00,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,120,1968,63
n/a,Line 7,Ok,Line,997,1497,121,0.97,0.23,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1000,1498,121
n/a,Line 8,Ok,Line,595,1744,53,0.95,0.31,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,593,1744,53
n/a,Line 9,Ok,Line,649,1830,12,0.96,0.27,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,647,1830,12
n/a,Line 10,Ok,Line,765,1754,22,0.79,-0.61,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,766,1753,22
n/a,Line 11,Ok,Line,867,1829,7,0.93,0.36,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,868,1830,7
n/a,Line 12,Ok,Line,837,1906,11,0.98,0.21,0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,840,1906,11
n/a,Line 13,Ok,Line,352,2001,7,0.99,-0.15,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,369,1998,6
n/a,Line 14,Ok,Line,1119,1740,38,0.88,-0.47,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1131,1734,38
n/a,Line 15,Ok,Line,1188,1599,8,0.90,0.43,0.03,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1182,1596,8
n/a,Line 16,Ok,Line,1294,1551,26,0.21,0.98,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1296,1560,26
n/a,Line 17,Ok,Line,1777,1060,41,0.98,-0.18,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1788,1058,41
n/a,Line 18,Ok,Line,1692,952,14,0.99,-0.14,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1650,958,15
n/a,Line 19,Ok,Line,2029,1284,105,0.11,0.99,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,2029,1286,105
n/a,Line 20,Ok,Line,1886,1537,63,-0.11,0.99,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1885,1545,62
n/a,Line 21,Ok,Line,1965,1658,58,0.86,-0.51,-0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1971,1654,58
n/a,Line 22,Ok,Line,1744,1811,3,0.40,0.92,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1749,1821,3
n/a,Line 23,Ok,Line,1642,1600,57,0.94,0.34,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1642,1600,57
n/a,Line 24,Ok,Line,1547,1500,54,-0.64,0.77,-0.02,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1545,1503,54
n/a,Line 25,Ok,Line,1778,1856,3,0.13,0.99,0.00,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1778,1857,3
n/a,Line 26,Ok,Line,1863,737,9,1.00,0.03,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1865,737,9
n/a,Line 27,Ok,Line,1495,702,51,0.96,0.27,0.01,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,Gauss (least squares) fitted,Off,Off,None,0,Volume 1 grid coordinate system,1500,703,52
